Page;Extract
8;"Implement executive and legislative actions to allow third-party auditor access to AI data and source code, as well as other transparency and explainability information, for the purposes of external researcher, civil society, and regulator assessments."
8;"Consider best practices that could be recommended to industry for embedding accountability mechanisms to test the outcome or results of its AI systems."
4;"Identify fairness considerations and approaches up-front, and involve multi-stakeholders, such as experts in the relevant domain and across disciplines, in the conversation."
4;"Develop testing and monitoring mechanisms to detect and mitigate fairness-related harms."
6;"Develop audit trail requirements and documentation of AI-powered biometric systems that cover all steps of the AI development process, which could include model architecture, training data, records of exhibited bias and previous predictions, etc."
6;"Require private companies to provide a right to explanation of decisions made by automated or AI systems."
6;"Implement executive and legislative actions to mandate developers of AI systems to provide access for auditing via independent regulatory agencies, such as the Federal Trade Commission (FTC), or third-party organizations."
6;"Implement bias and safety bug-bounty programs, allowing individuals to report algorithmic bias or security vulnerabilities to an organization and receive rewards or compensation, for AI systems to increase incentives for broader scrutiny of AI systems."
7;"Mandate federal and local governments to consult representatives from community and civil society organizations when developing rules and regulations related to AI."
7;"Require private companies to conduct stakeholder consultations with civil societies and seek out their guidance during the development of AI technologies to augment human capabilities and ensure the inclusion of diverse developers of AI systems, representative datasets, and nondiscriminatory practices."
9;"Build AI themes, including AI ethics and the technology's impact on society, into Department of Education recommendations on technology and CS education."
9;"Engage with civil society to understand best practices and substantive options for AI educational programs."
9;"Conduct a study on existing CS and other multidisciplinary education programs related to AI nationally to understand equity and inclusion issues so as to inform the development of AI education."
9;"Ensure executive branch policies on AI are communicated clearly to the public, with discussion of their possible impacts on society and on communities."
4;"Explore a legally viable path for algorithmic fairness under current constitutional doctrines."
2;"Update antitrust and civil rights regulations and enhance rule-of-law practice to compel the private sector to adopt a democracy-supporting and individual-rights-protecting vision of AI science and technology."
2;"Increase investment and fund academic research or public-private partnerships in AI-powered biometric innovations infused with democratic values."
2;"Support norm-setting efforts on AI-powered biometric technologies at the international level to support human rights and rule of law."
2;"Coordinate with other democratic countries and global civil society organizations to promote democratic values in AI and place export controls and human rights sanctions with its allies to deny authoritarian regimes resources used to develop mass surveillance technologies."
