text_extract;highlight_color
"ensure that Europeans can benefit from new technologies developed and functioning according to Union values, fundamental rights and principles";yellow
"Following the publication of the White Paper, the Commission launched a broad stakeholder consultation, which was met with a great interest by a large number of stakeholders who were largely supportive of regulatory intervention to address the challenges and concerns raised by the increasing use of AI";red
"rules for AI available in the Union market or otherwise affecting people in the Union should therefore be human centric, so that people can trust that the technology is used in a way that is safe and compliant with the law, including the respect of fundamental rights";green
"protect ethical principles";green
"promote the uptake of AI and of addressing the risks associated with certain uses of such technology";yellow
"ensure legal certainty to facilitate investment and innovation in AI";yellow
"enhance governance and effective enforcement of existing law on fundamental rights and safety requirements applicable to AI systems";green
"facilitate the development of a single market for lawful, safe and trustworthy AI applications and prevent market fragmentation";yellow
"a balanced and proportionate horizontal regulatory approach to AI that is limited to the minimum necessary requirements to address the risks and problems linked to AI";green
"comprehensive and future-proof in its fundamental regulatory choices, including the principle-based requirements that AI systems should comply with";yellow
"flexible mechanisms that enable it to be dynamically adapted as the technology evolves and new concerning situations emerge";green
"Ex-post enforcement should ensure that once the AI system has been put on the market, public authorities have the powers and resources to intervene in case AI systems generate unexpected risks";green
"monitor compliance of operators with their relevant obligations under the regulation";green
"Market surveillance authorities would also control the market and investigate compliance with the obligations and requirements for all high-risk AI systems";green
"monitoring and reporting obligations for providers of AI systems with regard to post-market monitoring and reporting and investigating on AI-related incidents and malfunctioning";green
"obligations for testing, risk management, documentation and human oversight throughout the AI systems' lifecycle";green
"register those stand-alone high-risk AI systems in an EU database for public transparency and oversight";green
"sets out the legal requirements for high-risk AI systems in relation to data and data governance, documentation and recording keeping, transparency and provision of information to users, human oversight, robustness, accuracy and security";green
"a solid quality management system, ensure the accomplishment of the required conformity assessment procedure based on technical documentation";green
"For high-risk AI systems, the requirements of high quality data, documentation and traceability, transparency, human oversight, accuracy and robustness";green
"properly documented ex ante compliance with all requirements and compliance with robust quality and risk management systems";green
"New ex ante re-assessments of the conformity will be needed in case of substantial modifications to the AI systems";green
"providers shall put a quality management system in place that ensures compliance with this Regulation";green
"Member States shall establish adequate testing facilities to provide independent evaluation";green
"research for legitimate purposes should follow recognised ethical standards for scientific research";green
"Standards should be consistent with fundamental rights and be non-discriminatory";green
"practices that contradict Union values of respect for human dignity, freedom, equality, democracy and the rule of law should be prohibited";green
