text_extract;highlight_color
"This paper and the taxonomy of trustworthiness it introduces can ideally supplement use of the NIST AI RMF because it provides an approach for connecting what are currently three relatively disparate elements: the core framework, the AI lifecycle, and the characteristics of trustworthiness.";red
"The overall trustworthiness of an AI system is dependent upon the holistic consideration of all properties. For example, an AI system that is reliable and safe, but is not made transparent or explainable to users, is unlikely to be trusted.";yellow
"There are also tensions between properties that can arise, for example between explainability and security.";red
"In some cases an organization will need to make tradeoffs between some of the properties, either due to resource constraints or conflicts between two or more properties. Which properties to prioritize will depend on the context of the particular organization, AI system, and use case.";yellow
"The people best suited to address a particular property will vary depending on the organization and the type of system being developed. In general, we expect that multidisciplinary and diverse teams will be critical, and that many roles will have relevant input on how to effectively consider the properties.";green
"We expect that in many cases, decisions about a particular property will not be made by a single person or team, but rather there will be chains of interactions among people with different roles who bring unique expertise.";yellow
"It will also be critical that the teams exploring the trustworthiness of AI systems have the power to influence or implement necessary changes.";green
"If risks and impact are deemed to be unacceptable, how will we ensure the AI system is adjusted or rejected?";green
"Rather than looking at a small number of final high-risk use cases to determine the relevancy of properties, we opted instead to focus on a set of questions that reveal more about the nature of the interaction between the system and people.";yellow
"An AI system may change its degree of human engagement at some point during its lifecycle, and so any assessment of human engagement should be revisited at regular intervals.";green
"Conducting a risk and impact assessment is still a critical process for any AI system, and should be done in addition to considering the degree to which an AI system engages with people.";green
"Security-by-Design How will we build security into the AI system design, testing, deployment, and operation? How often will we provide security updates to the AI system?";green
"Availability How will we ensure that information for and about the AI system is available to authorized personnel when it is needed?";green
"Confidentiality How will we ensure that information is not made available or disclosed to unauthorized individuals, entities, or processes?";green
"Integrity How will we maintain and ensure the accuracy, completeness, and appropriateness of data, models, and procedures informing the AI system?";green
"This paper and the taxonomy of trustworthiness it introduces can ideally supplement use of the NIST AI RMF because it provides an approach for connecting what are currently three relatively disparate elements: the core framework, the AI lifecycle, and the characteristics of trustworthiness.";red
"The overall trustworthiness of an AI system is dependent upon the holistic consideration of all properties. For example, an AI system that is reliable and safe, but is not made transparent or explainable to users, is unlikely to be trusted.";yellow
"There are also tensions between properties that can arise, for example between explainability and security.";red
"In some cases an organization will need to make tradeoffs between some of the properties, either due to resource constraints or conflicts between two or more properties. Which properties to prioritize will depend on the context of the particular organization, AI system, and use case.";yellow
"The people best suited to address a particular property will vary depending on the organization and the type of system being developed. In general, we expect that multidisciplinary and diverse teams will be critical, and that many roles will have relevant input on how to effectively consider the properties.";green
"We expect that in many cases, decisions about a particular property will not be made by a single person or team, but rather there will be chains of interactions among people with different roles who bring unique expertise.";yellow
"It will also be critical that the teams exploring the trustworthiness of AI systems have the power to influence and implement necessary changes.";green
"If risks and impact are deemed to be unacceptable, how will we ensure the AI system is adjusted or rejected?";green
"Rather than looking at a small number of final high-risk use cases to determine the relevancy of properties, we opted instead to focus on a set of questions that reveal more about the nature of the interaction between the system and people.";yellow
"An AI system may change its degree of human engagement at some point during its lifecycle, and so any assessment of human engagement should be revisited at regular intervals.";green
"Conducting a risk and impact assessment is still a critical process for any AI system, and should be done in addition to considering the degree to which an AI system engages with people.";green
"Security-by-Design How will we build security into the AI system design, testing, deployment, and operation? How often will we provide security updates to the AI system?";green
"Availability How will we ensure that information for and about the AI system is available to authorized personnel when it is needed?";green
"Confidentiality How will we ensure that information is not made available or disclosed to unauthorized individuals, entities, or processes?";green
"Integrity How will we maintain and ensure the accuracy, completeness, and appropriateness of data, models, and procedures informing the AI system?";green
"High Quality AI System Configuration How will we assess the quality of the AI system design and configuration and ensure consistently high quality?";green
"High Quality Network Resources and Services How will we assess and ensure the quality of shared network resources and services, e.g., distributed dataset access?";green
"Trusted Dependencies on External Parties How will we identify, assess, and monitor our dependencies on external parties?";green
"Foresight and Scenario Planning How will we assess and navigate possible futures and the evolving risk landscape?";green
"Protection of Physical and Psychological Safety How will we ensure that the AI system will not cause physical or psychological harm or lead to a state in which human life, health, property, or the environment is endangered?";green
"Assurance / Management of Uncertainty If we do not know all of the elements required for the safe development and deployment of the AI system, how will we manage this uncertainty?";green
"Assurance / Management of Multi-Capability / Multi-Modal Systems If an AI system has multiple capabilities or works across multiple modalities, how will we document and manage this complexity?";green
"Alignment with Human Values How will we ensure that the AI system abides by desired human values and does not sacrifice human values to achieve its narrow goals?";yellow
"Governable How will we ensure an AI system is designed and engineered to achieve its goals while maintaining the ability to disengage or deactivate the system if necessary? How will we ensure an AI system would not have incentives to resist or deceive its operators?";green
