9@The CSIRTs are tasked with incident handling. This includes the processing of large volumes of sometimes sensitive data. Member States should ensure that the CSIRTs have an infrastructure for information sharing and processing, as well as well-equipped staff, which ensures the confidentiality and trustworthiness of their operations. The CSIRTs could also adopt codes of conduct in that respect.@PR.DS-P5; PR.AC-P4@PR.PO-P6; PR.PO-P7@GV.PO-P3@data protection@High
10@As regards personal data, the CSIRTs should be able to provide, in accordance with Regulation (EU) 2016/679, upon the request of an essential or important entity, a proactive scanning of the network and information systems used for the provision of the entity's services.@ID.RA-P1; ID.RA-P3@CT.PO-P3; PR.DS-P5@PR.AC-P5@data protection; privacy@High
14@In order to ensure the availability of accurate and complete domain name registration data, TLD name registries and entities providing domain name registration services should collect and guarantee the integrity and availability of domain name registration data. In particular, TLD name registries and entities providing domain name registration services should establish policies and procedures to collect and maintain accurate and complete domain name registration data, as well as to prevent and correct inaccurate registration data, in accordance with Union data protection law.@CT.DM-P9; PR.DS-P1@ID.IM-P6; CT.PO-P2@PR.DS-P6@data protection@High
16@Cybersecurity risk-management measures should take into account the degree of dependence of the essential or important entity on network and information systems and include measures to identify any risks of incidents, to prevent, detect, respond to and recover from incidents and to mitigate their impact. The security of network and information systems should include the security of stored, transmitted and processed data.@PR.DS-P1; PR.DS-P2@ID.RA-P4; PR.PO-P7@ID.DE-P1@data protection@High
17@Given the importance and value of data for the activities of essential and important entities, when relying on data transformation and data analytics services from third parties, those entities should take all appropriate cybersecurity risk-management measures.@ID.DE-P2; ID.DE-P3@PR.DS-P5; ID.RA-P2@GV.RM-P3@data protection@High
18@To identify the supply chains that should be subject to a coordinated security risk assessment, the following criteria should be taken into account: (i) the extent to which essential and important entities use and rely on specific critical ICT services, ICT systems or ICT products; (ii) the relevance of specific critical ICT services, ICT systems or ICT products for performing critical or sensitive functions, including the processing of personal data; (iii) the availability of alternative ICT services, ICT systems or ICT products; (iv) the resilience of the overall supply chain of ICT services, ICT systems or ICT products throughout their lifecycle against disruptive events; and (v) for emerging ICT services, ICT systems or ICT products, their potential future significance for the entities' activities.@ID.DE-P2; ID.RA-P1@ID.IM-P7; ID.DE-P4@ID.BE-P3@data protection@High
22@Personal data are in many cases compromised as a result of incidents. In that context, the competent authorities should cooperate and exchange information about all relevant matters with the authorities referred to in Regulation (EU) 2016/679 and Directive 2002/58/EC.@CM.AW-P7; PR.DS-P5@GV.PO-P4; CM.AW-P8@RS.CO-P5@data protection; privacy@High
7@(h) policies and procedures regarding the use of cryptography and, where appropriate, encryption;@PR.DS-P1; PR.DS-P2@PR.PT-P3@CT.DP-P1@data protection@High
12@Without prejudice to Article 346 TFEU, information that is confidential pursuant to Union or national rules, such as rules on business confidentiality, shall be exchanged with the Commission and other relevant authorities in accordance with this Directive only where that exchange is necessary for the application of this Directive.@PR.DS-P5; CT.PO-P2@GV.PO-P5; CM.PO-P1@ID.DE-P3@data protection@High
1@The information exchanged shall be limited to that which is relevant and proportionate to the purpose of that exchange. The exchange of information shall preserve the confidentiality of that information and protect the security and commercial interests of entities concerned.@PR.DS-P5; CT.PO-P2@GV.PO-P1; CM.AW-P4@ID.RA-P1@data protection@High
19@Member States shall require the TLD name registries and the entities providing domain name registration services to provide access to specific domain name registration data upon lawful and duly substantiated requests by legitimate access seekers, in accordance with Union data protection law.@CT.PO-P1; PR.AC-P4@CT.DM-P2; CM.AW-P4@GV.PO-P5@data protection; transparency@High
1@Without prejudice to Article 346 TFEU, information that is confidential pursuant to Union or national rules, such as rules on business confidentiality, shall be exchanged with the Commission and other relevant authorities in accordance with this Directive only where that exchange is necessary for the application of this Directive.@PR.DS-P5; CT.PO-P2@GV.PO-P5; CM.PO-P1@ID.DE-P3@data protection@High
2@Entities, the competent authorities, the single points of contact and the CSIRTs shall process personal data to the extent necessary for the purposes of this Directive and in accordance with Regulation (EU) 2016/679, in particular such processing shall rely on Article 6 thereof.@CT.PO-P1; GV.PO-P5@ID.IM-P5; CT.PO-P2@PR.AC-P4@data protection; privacy@High
13@The Union may, where appropriate, conclude international agreements, in accordance with Article 218 TFEU, with third countries or international organisations, allowing and organising their participation in particular activities of the Cooperation Group, the CSIRTs network and EU-CyCLONe. Such agreements shall comply with Union data protection law.@ID.DE-P4; GV.PO-P5@ID.DE-P3; CT.PO-P2@GV.PO-P4@data protection@High
